Title,Ratings,Original_Price,Manufacturing_Date,Expiry_Date,total_days,Demand,Demand_rank,days_remaining,Discount_Percentage,discount,ProductName_encoded
elitefamily wonder,4.1,60.0,2023-03-14,2023-04-13,30,Medium,1.0,0,16.5,Product is expired,276
bonn breadmilk,4.0,50.0,2024-01-28,2024-02-27,30,Medium,1.0,0,16.5,Product is expired,179
britanniatreat croissant,4.1,120.0,2022-12-20,2023-01-19,30,Medium,1.0,0,16.5,Product is expired,200
bonn breadatta,3.9,40.0,2024-11-29,2024-12-29,30,Medium,1.0,194,-15.83,1112755917836390.4,173
harvest goldbakers,4.1,65.0,2025-03-12,2025-04-11,30,Medium,1.0,297,-33.0,3.3323655045010974e+24,335
bonnbrown bread,3.8,55.0,2024-03-30,2024-04-29,30,Low,0.0,0,19.0,Product is expired,188
bonn breadhigh,3.9,55.0,2024-12-01,2024-12-31,30,Medium,1.0,196,-16.17,2331575636617405.0,177
bonn breadwhite,3.9,60.0,2024-02-28,2024-03-29,30,Medium,1.0,0,16.5,Product is expired,186
britanniafudge it,4.2,80.0,2023-02-06,2023-03-08,30,Medium,1.0,0,16.5,Product is expired,194
harvest gold100%,3.9,60.0,2025-02-07,2025-03-09,30,Medium,1.0,264,-27.5,3.487110401346498e+21,333
the health,4.1,60.0,2023-06-21,2023-07-21,30,Medium,1.0,0,16.5,Product is expired,692
bonn breadatta,3.9,40.0,2022-08-08,2022-09-07,30,Medium,1.0,0,16.5,Product is expired,173
harvest goldbakers,4.1,65.0,2024-08-18,2024-09-17,30,Medium,1.0,91,1.33,-171852.36,335
bonnbrown bread,3.8,55.0,2024-12-04,2025-01-03,30,Low,0.0,199,-14.17,3722939922976191.0,188
bonn breadhigh,3.9,55.0,2023-06-30,2023-07-30,30,Medium,1.0,0,16.5,Product is expired,177
bonn breadwhite,3.9,60.0,2022-10-24,2022-11-23,30,Medium,1.0,0,16.5,Product is expired,186
harvest gold100%,3.9,60.0,2023-12-10,2024-01-09,30,Medium,1.0,0,16.5,Product is expired,333
the health,4.1,60.0,2023-07-31,2023-08-30,30,Medium,1.0,0,16.5,Product is expired,692
bonn breadatta,4.0,50.0,2024-01-20,2024-02-19,30,Medium,1.0,0,16.5,Product is expired,173
bonn breadsoft,3.8,20.0,2024-10-07,2024-11-06,30,Low,0.0,141,-4.5,3940760193.33,184
baulimoonfils croissant,4.2,80.0,2023-03-04,2023-04-03,30,Medium,1.0,0,16.5,Product is expired,61
wingreens farmsbread,3.8,300.0,2023-07-04,2023-08-03,30,Low,0.0,0,19.0,Product is expired,730
bran-oplus high-fibre,3.8,60.0,2024-04-28,2024-05-28,30,Low,0.0,0,19.0,Product is expired,192
la americanawholewheat,3.8,65.0,2023-07-10,2023-08-09,30,Low,0.0,0,19.0,Product is expired,396
bonn breadprime,3.8,40.0,2022-10-19,2022-11-18,30,Low,0.0,0,19.0,Product is expired,182
bonn breadatta,3.8,55.0,2023-09-23,2023-10-23,30,Low,0.0,0,19.0,Product is expired,173
bran-oplus fruit,3.8,40.0,2024-07-22,2024-08-21,30,Low,0.0,64,8.33,-2988.3,191
harvest goldkulcha,3.7,45.0,2023-07-06,2023-08-05,30,Low,0.0,0,19.0,Product is expired,336
bonn breadbread,3.8,50.0,2023-08-01,2023-08-31,30,Low,0.0,0,19.0,Product is expired,174
bonn breadkulcha,3.8,40.0,2022-11-08,2022-12-08,30,Low,0.0,0,19.0,Product is expired,178
bonn breadatta,4.0,50.0,2024-03-19,2024-04-18,30,Medium,1.0,0,16.5,Product is expired,173
bonn breadsoft,3.8,20.0,2023-04-27,2023-05-27,30,Low,0.0,0,19.0,Product is expired,184
wingreens farmsbread,3.8,300.0,2023-04-09,2023-05-09,30,Low,0.0,0,19.0,Product is expired,730
bran-oplus high-fibre,3.8,60.0,2025-01-16,2025-02-15,30,Low,0.0,242,-21.33,3.3206885029358092e+19,192
la americanawholewheat,3.8,65.0,2025-01-01,2025-01-31,30,Low,0.0,227,-18.83,1.5811252113936143e+18,396
bonn breadprime,3.8,40.0,2024-10-06,2024-11-05,30,Low,0.0,140,-4.33,6209069047.77,182
bonn breadatta,3.8,55.0,2024-04-01,2024-05-01,30,Low,0.0,0,19.0,Product is expired,173
bran-oplus fruit,3.8,40.0,2025-01-03,2025-02-02,30,Low,0.0,229,-19.17,1.4777551581962166e+18,191
harvest goldkulcha,3.7,45.0,2023-01-27,2023-02-26,30,Low,0.0,0,19.0,Product is expired,336
bonn breadbread,3.8,50.0,2023-10-21,2023-11-20,30,Low,0.0,0,19.0,Product is expired,174
bonn breadkulcha,3.8,40.0,2023-01-22,2023-02-21,30,Low,0.0,0,19.0,Product is expired,178
danbromilk bread3.73,3.7,32.0,2023-03-08,2023-04-07,30,Low,0.0,0,19.0,Product is expired,257
moreishsandwich milk,3.7,40.0,2023-08-14,2023-09-13,30,Low,0.0,0,19.0,Product is expired,450
bonn breadmultigrain,3.7,70.0,2025-03-30,2025-04-29,30,Low,0.0,315,-33.5,1.3333013398442762e+26,180
harvest goldatta,3.8,45.0,2023-07-30,2023-08-29,30,Low,0.0,0,19.0,Product is expired,334
bonn breadgarlic,3.7,50.0,2023-09-08,2023-10-08,30,Low,0.0,0,19.0,Product is expired,176
bonn breadsesame,3.8,40.0,2024-08-12,2024-09-11,30,Low,0.0,85,4.83,-115674.91,183
bonn breadmilk,3.7,45.0,2023-07-15,2023-08-14,30,Low,0.0,0,19.0,Product is expired,179
bonn breadprime,3.7,50.0,2025-01-17,2025-02-16,30,Low,0.0,243,-21.5,3.406852987742058e+19,182
danbromilk bread3.73,3.7,32.0,2024-07-05,2024-08-04,30,Low,0.0,47,11.17,-103.53,257
moreishsandwich milk,3.7,40.0,2025-02-21,2025-03-23,30,Low,0.0,278,-27.33,3.799320451533592e+22,450
bonn breadmultigrain,3.7,70.0,2024-03-03,2024-04-02,30,Low,0.0,0,19.0,Product is expired,180
harvest goldatta,3.8,45.0,2023-12-30,2024-01-29,30,Low,0.0,0,19.0,Product is expired,334
bonn breadgarlic,3.7,50.0,2023-02-24,2023-03-26,30,Low,0.0,0,19.0,Product is expired,176
bonn breadsesame,3.8,40.0,2025-02-11,2025-03-13,30,Low,0.0,268,-25.67,4.829511433838956e+21,183
bonn breadmilk,3.7,45.0,2024-07-05,2024-08-04,30,Low,0.0,47,11.17,-145.59,179
bonn breadprime,3.7,50.0,2024-03-28,2024-04-27,30,Low,0.0,0,19.0,Product is expired,182
harvest goldatta,3.6,50.0,2024-07-09,2024-08-08,30,Low,0.0,51,10.5,-344.85,334
bonn breadsweet,3.6,20.0,2024-05-02,2024-06-01,30,Low,0.0,0,19.0,Product is expired,185
la americanawhole,3.6,60.0,2025-03-10,2025-04-09,30,Low,0.0,295,-30.17,1.8850987325669255e+24,395
britanniawhite bread,3.4,30.0,2024-12-15,2025-01-14,30,Low,0.0,210,-16.0,2.0693911426152932e+16,201
bran-oplus white,3.5,65.0,2023-09-10,2023-10-10,30,Low,0.0,0,19.0,Product is expired,193
bakes freshfruit,3.4,20.0,2022-10-24,2022-11-23,30,Low,0.0,0,19.0,Product is expired,58
the health,3.4,155.0,2023-05-03,2023-06-02,30,Low,0.0,0,19.0,Product is expired,692
harvest goldatta,3.6,50.0,2025-03-22,2025-04-21,30,Low,0.0,307,-32.17,1.8464406923499565e+25,334
bonn breadsweet,3.6,20.0,2022-11-27,2022-12-27,30,Low,0.0,0,19.0,Product is expired,185
la americanawhole,3.6,60.0,2025-01-06,2025-02-05,30,Low,0.0,232,-19.67,4.144314250543576e+18,395
britanniawhite bread,3.4,30.0,2023-10-12,2023-11-11,30,Low,0.0,0,19.0,Product is expired,201
bran-oplus white,3.5,65.0,2023-10-06,2023-11-05,30,Low,0.0,0,19.0,Product is expired,193
bakes freshfruit,3.4,20.0,2024-09-04,2024-10-04,30,Low,0.0,108,1.0,-1191307.4,58
bonn breadpremium,3.9,45.0,2024-12-16,2025-01-15,30,Medium,1.0,211,-18.67,4.424019948794874e+16,181
the health,3.4,155.0,2024-05-14,2024-06-13,30,Low,0.0,0,19.0,Product is expired,692
the health,3.1,105.0,2025-04-03,2025-05-03,30,Low,0.0,319,-34.17,4.5399945538110604e+26,692
bran-ocheese-garlic bread,3.0,50.0,2022-08-13,2022-09-12,30,Low,0.0,0,19.0,Product is expired,190
the health,3.1,105.0,2022-12-17,2023-01-16,30,Low,0.0,0,19.0,Product is expired,692
baulimoonfils croissant,4.2,80.0,2025-03-30,2025-04-29,30,Medium,1.0,315,-36.0,1.6374873598087483e+26,61
bran-ocheese-garlic bread,3.0,50.0,2024-03-29,2024-04-28,30,Low,0.0,0,19.0,Product is expired,190
britanniatreat croissant,4.1,120.0,2024-02-02,2024-03-03,30,Medium,1.0,0,16.5,Product is expired,200
britanniafudge it,4.2,80.0,2023-08-19,2023-09-18,30,Medium,1.0,0,16.5,Product is expired,194
english ovenatta,3.6,45.0,2023-01-05,2023-02-04,30,Low,0.0,0,19.0,Product is expired,281
britanniatreat croissant,3.9,80.0,2024-09-06,2024-10-06,30,Medium,1.0,110,-1.83,13009264.34,200
english ovenatta,3.6,45.0,2023-12-14,2024-01-13,30,Low,0.0,0,19.0,Product is expired,281
wingreens farmsbaked,3.7,300.0,2023-10-29,2023-11-28,30,Low,0.0,0,19.0,Product is expired,729
baulisavoriz puffed,3.5,80.0,2024-05-01,2024-05-31,30,Low,0.0,0,19.0,Product is expired,62
baulimoonfils croissant,4.1,80.0,2024-06-20,2024-07-20,30,Medium,1.0,32,11.17,-4.39,61
baulimoonfils croissant,4.2,80.0,2023-04-15,2023-05-15,30,Medium,1.0,0,16.5,Product is expired,61
baulimoonfils croissant,4.1,80.0,2023-08-28,2023-09-27,30,Medium,1.0,0,16.5,Product is expired,61
baulimoonfils croissant,4.2,80.0,2023-08-26,2023-09-25,30,Medium,1.0,0,16.5,Product is expired,61
baulimoonfils choco,3.5,500.0,2025-04-14,2025-05-14,30,Low,0.0,330,-36.0,2.0556133016682317e+28,60
baulimoonfils -,4.3,160.0,2022-12-02,2023-01-01,30,Medium,1.0,0,16.5,Product is expired,59
baulisavoriz puffed,3.5,80.0,2024-07-04,2024-08-03,30,Low,0.0,46,11.33,-213.3,62
baulimoonfils croissant,4.1,80.0,2022-09-05,2022-10-05,30,Medium,1.0,0,16.5,Product is expired,61
baulimoonfils croissant,4.2,80.0,2022-12-25,2023-01-24,30,Medium,1.0,0,16.5,Product is expired,61
britanniagobbles choco,4.1,60.0,2023-05-12,2023-06-11,30,Medium,1.0,0,16.5,Product is expired,195
baulimoonfils croissant,4.1,80.0,2024-10-24,2024-11-23,30,Medium,1.0,158,-9.83,1031768445025.96,61
baulimoonfils croissant,4.2,80.0,2022-10-29,2022-11-28,30,Medium,1.0,0,16.5,Product is expired,61
baulimoonfils choco,3.5,500.0,2023-09-16,2023-10-16,30,Low,0.0,0,19.0,Product is expired,60
wingreens farmscrispy,3.8,300.0,2024-10-12,2024-11-11,30,Low,0.0,146,-5.33,190318253597.57,731
baulimoonfils -,4.3,160.0,2024-06-24,2024-07-24,30,Medium,1.0,36,10.5,-38.98,59
modernwow pav,3.9,35.0,2025-04-11,2025-05-11,30,Medium,1.0,327,-38.0,8.335734355681699e+26,448
baulimoonfils croissant,4.1,80.0,2023-04-26,2023-05-26,30,Medium,1.0,0,16.5,Product is expired,61
nandinigoodlife toned,4.1,30.0,2024-10-31,2024-11-30,30,Medium,1.0,165,-11.0,1755759193982.64,471
amul taazahomogenised,4.1,444.0,2022-09-29,2022-10-29,30,Medium,1.0,0,16.5,Product is expired,40
so goodalmond,3.9,1180.0,2025-03-31,2025-04-30,30,Medium,1.0,316,-36.17,2.9639773526443347e+27,600
cavinsbelgian chocolate,4.7,40.0,2024-08-06,2024-09-05,30,High,,79,-0.17,1226.23,227
heritagepremium badam,4.0,210.0,2025-01-31,2025-03-02,30,Medium,1.0,257,-26.33,2.881639391519606e+21,342
raw presseryready,3.6,330.0,2024-05-03,2024-06-02,30,Low,0.0,0,19.0,Product is expired,565
cavinsvanilla milkshake,4.2,320.0,2024-07-28,2024-08-27,30,Medium,1.0,70,4.83,-46058.23,235
milky misttoned,4.2,80.0,2023-04-18,2023-05-18,30,Medium,1.0,0,16.5,Product is expired,444
bagrry'splant based,3.8,350.0,2023-11-13,2023-12-13,30,Low,0.0,0,19.0,Product is expired,57
sofitsoya kesar,4.1,140.0,2024-01-11,2024-02-10,30,Medium,1.0,0,16.5,Product is expired,606
heritageflavoured milk,4.0,120.0,2025-02-27,2025-03-29,30,Medium,1.0,284,-30.83,4.268884960764906e+23,340
akshayakalpaorganic cow,4.1,500.0,2024-10-11,2024-11-10,30,Medium,1.0,145,-7.67,373713212125.3,34
"storiachocolate shake,",4.1,135.0,2024-07-25,2024-08-24,30,Medium,1.0,67,5.33,-11764.53,616
so goodalmond,3.8,325.0,2024-01-02,2024-02-01,30,Low,0.0,0,19.0,Product is expired,600
so goodplant-based,3.9,290.0,2022-12-11,2023-01-10,30,Medium,1.0,0,16.5,Product is expired,603
boostmilkshake nutrients,3.9,40.0,2023-01-23,2023-02-22,30,Medium,1.0,0,16.5,Product is expired,189
milky mistcooking,4.0,640.0,2022-10-02,2022-11-01,30,Medium,1.0,0,16.5,Product is expired,441
akshayakalpacooking butter,3.4,690.0,2023-04-13,2023-05-13,30,Low,0.0,0,19.0,Product is expired,33
mother dairypasteurized,4.1,60.0,2023-09-18,2023-10-18,30,Medium,1.0,0,16.5,Product is expired,451
heritagetoned milk,4.0,90.0,2023-03-17,2023-04-16,30,Medium,1.0,0,16.5,Product is expired,344
cavinskaju butterscotch,4.2,320.0,2023-08-12,2023-09-11,30,Medium,1.0,0,16.5,Product is expired,231
akshayakalpaorganic table,3.1,240.0,2023-09-03,2023-10-03,30,Low,0.0,0,19.0,Product is expired,38
milky misttable,4.0,65.0,2022-11-20,2022-12-20,30,Medium,1.0,0,16.5,Product is expired,443
heritagepasteurized cooking,4.1,265.0,2022-08-21,2022-09-20,30,Medium,1.0,0,16.5,Product is expired,341
nutralitedoodh shakti,4.1,260.0,2024-09-27,2024-10-27,30,Medium,1.0,131,-5.33,8212002836.54,496
milky misttable,4.4,78.0,2023-09-12,2023-10-12,30,Medium,1.0,0,16.5,Product is expired,443
nutralitehealthier &,4.0,260.0,2024-08-02,2024-09-01,30,Medium,1.0,75,4.0,-84261.67,498
nutralitedoodhshakti probiotic,4.3,320.0,2023-06-28,2023-07-28,30,Medium,1.0,0,16.5,Product is expired,497
amulwhite butter,4.3,47.0,2023-06-18,2023-07-18,30,Medium,1.0,0,16.5,Product is expired,45
white cubplant,4.1,180.0,2023-03-13,2023-04-12,30,Medium,1.0,0,16.5,Product is expired,728
nutralitehealthier &,4.2,100.0,2022-09-04,2022-10-04,30,Medium,1.0,0,16.5,Product is expired,498
nutorasenglish country,3.0,235.0,2024-12-07,2025-01-06,30,Low,0.0,202,-14.67,3.0007385221019108e+16,495
tata coffeegold,3.5,125.0,2025-01-31,2025-03-02,30,Low,0.0,257,-23.83,1.5523996414535344e+21,663
so goodoat,3.7,325.0,2023-03-11,2023-04-10,30,Low,0.0,0,19.0,Product is expired,602
tata coffeegold,3.5,125.0,2025-03-27,2025-04-26,30,Low,0.0,312,-33.0,1.2871605842733403e+26,663
so goodoat,3.7,325.0,2024-06-18,2024-07-18,30,Low,0.0,30,14.0,0.0,602
heritageflavoured milk,4.1,120.0,2024-05-02,2024-06-01,30,Medium,1.0,0,16.5,Product is expired,340
nestle a+slim,4.1,1200.0,2023-09-01,2023-10-01,30,Medium,1.0,0,16.5,Product is expired,486
nescafeintense cafe,4.2,135.0,2023-01-06,2023-02-05,30,Medium,1.0,0,16.5,Product is expired,484
britanniawinkin cow,4.2,105.0,2023-05-01,2023-05-31,30,Medium,1.0,0,16.5,Product is expired,202
milky mistuht,3.7,250.0,2022-11-11,2022-12-11,30,Low,0.0,0,19.0,Product is expired,445
heritageflavoured milk,4.0,120.0,2024-04-19,2024-05-19,30,Medium,1.0,0,16.5,Product is expired,340
heritageflavoured milk,4.0,120.0,2023-01-10,2023-02-09,30,Medium,1.0,0,16.5,Product is expired,340
gomilk -,4.2,450.0,2023-12-30,2024-01-29,30,Medium,1.0,0,16.5,Product is expired,324
nourish youchocolate,5.0,59.0,2024-02-28,2024-03-29,30,High,,0,13.0,Product is expired,492
so goodbarista,5.0,175.0,2023-01-19,2023-02-18,30,High,,0,13.0,Product is expired,601
cavinscold coffee,4.1,45.0,2024-01-11,2024-02-10,30,Medium,1.0,0,16.5,Product is expired,229
cavinskaju butterscotch,4.2,320.0,2023-10-10,2023-11-09,30,Medium,1.0,0,16.5,Product is expired,231
heritageflavoured milk,4.1,120.0,2023-09-30,2023-10-30,30,Medium,1.0,0,16.5,Product is expired,340
nescafeintense cafe,4.2,135.0,2023-03-02,2023-04-01,30,Medium,1.0,0,16.5,Product is expired,484
britanniawinkin cow,4.2,105.0,2024-10-13,2024-11-12,30,Medium,1.0,147,-8.0,122115323011.7,202
milky mistuht,3.7,250.0,2023-11-01,2023-12-01,30,Low,0.0,0,19.0,Product is expired,445
heritageflavoured milk,4.0,120.0,2023-09-15,2023-10-15,30,Medium,1.0,0,16.5,Product is expired,340
heritageflavoured milk,4.0,120.0,2022-08-28,2022-09-27,30,Medium,1.0,0,16.5,Product is expired,340
sofitsoya drink,4.1,435.0,2023-02-28,2023-03-30,30,Medium,1.0,0,16.5,Product is expired,605
nourish youchocolate,5.0,59.0,2022-09-09,2022-10-09,30,High,,0,13.0,Product is expired,492
so goodplant-based,4.0,280.0,2023-05-14,2023-06-13,30,Medium,1.0,0,16.5,Product is expired,603
so goodbarista,5.0,175.0,2025-04-14,2025-05-14,30,High,,330,-42.0,8.393754315145279e+27,601
cavinscold coffee,4.1,45.0,2022-11-26,2022-12-26,30,Medium,1.0,0,16.5,Product is expired,229
sunfeaststrawberry milkshake,4.1,120.0,2024-06-11,2024-07-11,30,Medium,1.0,23,12.67,11.45,630
govindsterilized homogenized,4.6,30.0,2023-06-12,2023-07-12,30,High,,0,13.0,Product is expired,327
govindsterilized homogenized,4.5,30.0,2024-05-12,2024-06-11,30,Medium,1.0,0,16.5,Product is expired,327
gosupremo milk4.21640,4.2,984.0,2022-09-18,2022-10-18,30,Medium,1.0,0,16.5,Product is expired,326
bagrry'splant based,4.5,350.0,2023-08-04,2023-09-03,30,Medium,1.0,0,16.5,Product is expired,57
amulkool milkshake,4.2,150.0,2025-02-22,2025-03-24,30,Medium,1.0,279,-30.0,1.9101950378584597e+23,41
realmilk power,4.4,40.0,2023-08-02,2023-09-01,30,Medium,1.0,0,16.5,Product is expired,566
britanniawinkin cow,4.4,40.0,2024-03-03,2024-04-02,30,Medium,1.0,0,16.5,Product is expired,202
so goodplant-based,4.0,300.0,2024-07-19,2024-08-18,30,Medium,1.0,61,6.33,-9338.31,603
sofitsoya drink,4.1,465.0,2024-11-07,2024-12-07,30,Medium,1.0,172,-12.17,122097512793758.06,605
sunfeaststrawberry milkshake,4.1,120.0,2023-07-01,2023-07-31,30,Medium,1.0,0,16.5,Product is expired,630
govindsterilized homogenized,4.6,30.0,2022-08-18,2022-09-17,30,High,,0,13.0,Product is expired,327
govindsterilized homogenized,4.5,30.0,2024-04-30,2024-05-30,30,Medium,1.0,0,16.5,Product is expired,327
amulwhipping cream42987,4.0,280.0,2023-07-18,2023-08-17,30,Medium,1.0,0,16.5,Product is expired,44
bagrry'splant based,4.5,350.0,2023-03-25,2023-04-24,30,Medium,1.0,0,16.5,Product is expired,57
amulkool milkshake,4.2,150.0,2022-08-19,2022-09-18,30,Medium,1.0,0,16.5,Product is expired,41
realmilk power,4.4,40.0,2023-10-02,2023-11-01,30,Medium,1.0,0,16.5,Product is expired,566
britanniawinkin cow,4.4,40.0,2022-09-04,2022-10-04,30,Medium,1.0,0,16.5,Product is expired,202
sunfeastbadam milkshake,4.1,120.0,2025-02-12,2025-03-14,30,Medium,1.0,269,-28.33,1.9530081496376547e+22,627
sofitsoya drink,4.1,435.0,2024-08-27,2024-09-26,30,Medium,1.0,100,-0.17,889325.13,605
sunfeastvanilla milkshake,4.1,120.0,2023-02-26,2023-03-28,30,Medium,1.0,0,16.5,Product is expired,631
nestlémilo rtd,4.2,135.0,2024-09-11,2024-10-11,30,Medium,1.0,115,-2.67,87066523.6,487
nandinicool -,4.3,30.0,2024-12-14,2025-01-13,30,Medium,1.0,209,-18.33,1.9410028444096284e+16,469
britanniawinkin cow,4.3,105.0,2023-09-14,2023-10-14,30,Medium,1.0,0,16.5,Product is expired,202
tata coffeegold,3.7,125.0,2025-02-11,2025-03-13,30,Low,0.0,268,-25.67,1.509222323074674e+22,663
britanniawinkin' cow,4.3,105.0,2024-05-11,2024-06-10,30,Medium,1.0,0,16.5,Product is expired,203
sunfeastmango smoothie,4.2,120.0,2024-06-16,2024-07-16,30,Medium,1.0,28,11.83,4.68,629
sunfeastbadam milkshake,4.1,120.0,2024-02-10,2024-03-11,30,Medium,1.0,0,16.5,Product is expired,627
sunfeastvanilla milkshake,4.1,120.0,2024-08-02,2024-09-01,30,Medium,1.0,75,4.0,-38890.0,631
nandinicool -,4.3,30.0,2024-05-31,2024-06-30,30,Medium,1.0,12,14.5,4.23,469
britanniawinkin cow,4.3,105.0,2023-08-26,2023-09-25,30,Medium,1.0,0,16.5,Product is expired,202
tata coffeegold,3.7,125.0,2024-02-11,2024-03-12,30,Low,0.0,0,19.0,Product is expired,663
britanniawinkin' cow,4.3,105.0,2025-02-08,2025-03-10,30,Medium,1.0,265,-27.67,7.499617393892312e+21,203
sunfeastmango smoothie,4.2,120.0,2023-10-13,2023-11-12,30,Medium,1.0,0,16.5,Product is expired,629
akshayakalpaorganic plain,4.4,90.0,2022-08-05,2022-09-04,30,Medium,1.0,0,16.5,Product is expired,35
cavinsgulkand milkshake,4.2,60.0,2024-08-02,2024-09-01,30,Medium,1.0,75,4.0,-19445.0,230
govindsterilized homogenized,4.2,30.0,2023-04-15,2023-05-15,30,Medium,1.0,0,16.5,Product is expired,327
cavinsrajbhog milkshake,4.2,180.0,2024-03-21,2024-04-20,30,Medium,1.0,0,16.5,Product is expired,233
akshayakalpaorganic spiced,4.1,90.0,2024-06-26,2024-07-26,30,Medium,1.0,38,10.17,-36.18,37
nescafehazelnut flavoured,4.2,135.0,2023-10-10,2023-11-09,30,Medium,1.0,0,16.5,Product is expired,481
cavinsrabdi milkshake,4.2,180.0,2024-01-14,2024-02-13,30,Medium,1.0,0,16.5,Product is expired,232
nescafeiced latte,4.2,200.0,2023-02-13,2023-03-15,30,Medium,1.0,0,16.5,Product is expired,483
jerseybadam flavoured,4.2,120.0,2023-08-17,2023-09-16,30,Medium,1.0,0,16.5,Product is expired,369
mtrbadam drink4.2102,4.2,240.0,2024-01-12,2024-02-11,30,Medium,1.0,0,16.5,Product is expired,455
godrej jerseypista,4.2,35.0,2022-12-16,2023-01-15,30,Medium,1.0,0,16.5,Product is expired,320
realmilk power,4.1,120.0,2025-04-02,2025-05-02,30,Medium,1.0,318,-36.5,4.537705099391292e+26,566
realmilk power,4.1,140.0,2024-03-27,2024-04-26,30,Medium,1.0,0,16.5,Product is expired,566
nandinigoodlife slim,4.0,580.0,2024-06-25,2024-07-25,30,Medium,1.0,37,10.33,-183.05,470
sunfeastdark fantasy,4.2,120.0,2024-03-31,2024-04-30,30,Medium,1.0,0,16.5,Product is expired,628
cavinsgulkand milkshake,4.2,60.0,2022-12-09,2023-01-08,30,Medium,1.0,0,16.5,Product is expired,230
akshayakalpaorganic slim,3.8,540.0,2023-03-07,2023-04-06,30,Low,0.0,0,19.0,Product is expired,36
govindsterilized homogenized,4.2,30.0,2024-09-03,2024-10-03,30,Medium,1.0,107,-1.33,1945843.14,327
